,beef,chocolate,fat,french,fries,frozen,green,ground,low,mineral,oil,olive,smoothie,spaghetti,tea,vegetables,water,wheat,whole,yogurt
beef,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.17774762550882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chocolate,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.383277901036048,0.0,0.0,0.0
fat,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.067944250871081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.779661016949152
french,0.0,0.0,0.0,1.0,5.271257905832748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fries,0.0,0.0,0.0,5.271257905832748,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frozen,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.727354260089687,0.0,0.0,5.658665983344011,0.0,0.0,0.0,0.0
green,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.97431923366699,0.0,0.0,0.0,0.0,0.0
ground,10.17774762550882,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low,0.0,0.0,13.067944250871081,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.779661016949152
mineral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.11013698630137,0.0,0.0,0.0
oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.70123203285421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.70123203285421,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smoothie,0.0,0.0,0.0,0.0,0.0,6.727354260089687,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spaghetti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4256447586481782,0.0,0.0,0.0
tea,0.0,0.0,0.0,0.0,0.0,0.0,5.97431923366699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
vegetables,0.0,0.0,0.0,0.0,0.0,5.658665983344011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
water,0.0,1.383277901036048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.11013698630137,0.0,0.0,0.0,1.4256447586481782,0.0,0.0,1.0,0.0,0.0,0.0
wheat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.594632768361581,0.0
whole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.594632768361581,1.0,0.0
yogurt,0.0,0.0,9.779661016949152,0.0,0.0,0.0,0.0,0.0,9.779661016949152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
